Date,Open,High,Low,Close,Adj Close,Volume
2023-12-28,375.369995,376.459991,374.160004,375.279999,375.279999,14327000
2023-12-29,376.000000,377.160004,373.480011,376.040009,376.040009,18723000
2024-01-02,373.859985,375.899994,366.769989,370.869995,370.869995,25258600
2024-01-03,369.010010,373.260010,368.510010,370.600006,370.600006,23083500
2024-01-04,370.670013,373.100006,367.170013,367.940002,367.940002,20901500
2024-01-05,368.970001,372.059998,366.500000,367.750000,367.750000,20987000
2024-01-08,369.299988,375.200012,369.010010,374.690002,374.690002,23134000
2024-01-09,372.010010,375.989990,371.190002,375.790009,375.790009,20810800
2024-01-10,376.369995,382.290009,376.380005,381.579987,381.579987,9283741
